SessionID,Session Name,Country,Device,User Agent,Browser,Date,Time (MILLISECONDS),Status,Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,Je préfère généralement afficher les courriels dans une orientation:,Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,Il me semble que les icônes de gestion des e-mails sont:,L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,Je trouve que les icônes pour la gestion du courrier électronique sont:,Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,La recherche d'un courrier électronique dans un dossier donné est:,En général je considère que l'utilisation des Mails est:,Souhaitez-vous ajouter un commentaire ou un souhait?
e6a61fa9-1d6d-4ae8-a198-6d49f4625b43,oKmiYB,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Wed, 05 Mar 2025 16:27:50 +0000",511159,SUCCESS,Pas du tout d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,2.0,Je suis tout à fait d'accord,Trop petites,Pas tout à fait d'accord,Très simple,D'une complexité correcte,8.0,non
e532ba08-bb37-4d5d-9de9-1a2f65bb7a7f,RJPMgk,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Wed, 05 Mar 2025 16:32:14 +0000",90386,DROP_OFF,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3.0,Plutôt d'accord,,,,,,
2bed9971-5af5-4655-9994-f31b88b367fb,7pfWnX,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Wed, 05 Mar 2025 16:42:21 +0000",93684,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,1.0,Je suis pas du tout d'accord,Trop petites,Je suis d'accord,Assez complexe,Très complexe,0.0, 
2af2bd02-c605-4174-9c63-c0b41810055f,pEJtBv,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Chrome,"Wed, 05 Mar 2025 16:50:58 +0000",25434,DROP_OFF,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),,,,,,,,,
e42b7bad-8b8e-4be2-9b3b-8b6b4a6c74e2,XyUrSx,FR,Mobile,Mozilla/5.0 (Android 14; Mobile; rv:135.0) Gecko/135.0 Firefox/135.0,Firefox,"Wed, 05 Mar 2025 16:51:55 +0000",346813,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Sans avis,Trop petites,Plutôt d'accord,Assez simple,Très complexe,6.0,L'option de recherche des mails dysfonctionne plusieurs fois par jour. Les vignettes avec les initiales sont beguées.
aadf7317-6c40-4933-8d50-32840b40abfd,kh3whg,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Wed, 05 Mar 2025 18:35:09 +0000",94529,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,4.0,Je suis pas tout à fait d'accord,Assez petites,Plutôt d'accord,Assez complexe,Assez simple,6.0,C'est une belle application mais encore des améliorations
159d78b7-1012-462b-b947-2fb6ce7edf87,mPmOCi,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Wed, 05 Mar 2025 19:30:48 +0000",296647,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3.0,Je suis pas tout à fait d'accord,Assez grandes,Sans avis,Assez complexe,Très complexe,6.0,"Je ne sais pas ce que c'est qu'ajouter une étiquette, je ne vois pas cette option
Je trouve les questions de ce questionnaire bizarre"
f7a085fd-07e6-413a-bb5c-2a1747c591ac,aMOewz,FR,Mobile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36",Chrome,"Wed, 05 Mar 2025 22:53:40 +0000",155948,SUCCESS,Plutôt d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,4.0,Sans avis,Parfaites,Sans avis,Assez simple,Assez simple,8.0, 
7719fba6-5649-46fa-935c-cb5bf0fc7551,DUUmAJ,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 03:30:19 +0000",223883,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Je suis pas tout à fait d'accord,Assez petites,Sans avis,Assez complexe,D'une complexité correcte,3.0,Beaucoup de choses à revoir.
2fe428a4-35e9-4497-ba24-9bceb9e8b472,6O3DtP,RE,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 05:50:36 +0000",268680,SUCCESS,Pas du tout d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,Très complexe,Assez complexe,1.0,"L'interface utilisateur est déplorable, aucun raccourci clavier n'est implémenté. Quand on a bcp de dossiers et de sous-dossiers, c'est un calvaire pour transférer des mails. La sélection de plusieurs mails en cliquant sur chaque mail un à un parait venir d'un ancien temps.  
=> beaucoup d'efforts seront à fournir pour arriver au niveau d'un webmail digne de ce nom"
