Country,Browser,Status,Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,Je préfère généralement afficher les courriels dans une orientation:,Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,Il me semble que les icônes de gestion des e-mails sont:,L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,Je trouve que les icônes pour la gestion du courrier électronique sont:,Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,La recherche d'un courrier électronique dans un dossier donné est:,En général je considère que l'utilisation des Mails est:
FR,Firefox,SUCCESS,1.0,2.0,1.0,2.0,5.0,1.0,2.0,5.0,3.0,8.0
FR,Edge,SUCCESS,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0
FR,Firefox,SUCCESS,4.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,6.0
FR,Chrome,SUCCESS,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,6.0
FR,Firefox,SUCCESS,2.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,6.0
FR,Chrome,SUCCESS,4.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,8.0
FR,Chrome,SUCCESS,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
RE,Firefox,SUCCESS,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0
FR,Chrome,SUCCESS,1.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0
FR,Samsung Browser,SUCCESS,3.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0
FR,Edge,SUCCESS,1.0,3.0,2.0,1.0,1.0,5.0,4.0,2.0,2.0,4.0
FR,Chrome,SUCCESS,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0
FR,Chrome,SUCCESS,3.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0
FR,Firefox,SUCCESS,1.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0
FR,Chrome,SUCCESS,2.0,1.0,2.0,1.0,4.0,1.0,5.0,5.0,3.0,7.0
FR,Edge,SUCCESS,3.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,8.0
FR,Firefox,SUCCESS,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0
FR,Edge,SUCCESS,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0
FR,Firefox,SUCCESS,3.0,1.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0
FR,Firefox,SUCCESS,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0
FR,Chrome,SUCCESS,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0
FR,Chrome,SUCCESS,5.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,7.0
FR,Chrome,SUCCESS,4.0,1.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,8.0
FR,Firefox,SUCCESS,2.0,2.0,1.0,3.0,1.0,1.0,5.0,4.0,4.0,6.0
FR,Chrome,SUCCESS,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,6.0
FR,Firefox,SUCCESS,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0
FR,Firefox,SUCCESS,2.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,6.0
FR,Safari,SUCCESS,3.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0
FR,Chrome,SUCCESS,2.0,1.0,2.0,4.0,2.0,5.0,3.0,2.0,1.0,7.0
FR,Chrome,SUCCESS,4.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0
FR,Chrome,SUCCESS,2.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0
FR,Chrome,SUCCESS,3.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0,7.0
FR,Edge,SUCCESS,3.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0
FR,Firefox,SUCCESS,3.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,5.0
FR,Chrome,SUCCESS,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0
FR,Chrome,SUCCESS,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0
FR,Chrome,SUCCESS,3.0,2.0,1.0,1.0,2.0,5.0,4.0,4.0,1.0,5.0
