Original_Response,Translated_Response
Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression,I find that the simultaneous management of two or more emails (deletion
L'option de recherche des mails dysfonctionne plusieurs fois par jour. Les vignettes avec les initiales sont beguées.,The option of searching emails dysfunction several times a day. The vignettes with the initials are beguged.
C'est une belle application mais encore des améliorations,It is a great application but still improvements
Je trouve les questions de ce questionnaire bizarre,I find the questions of this bizarre questionnaire
Beaucoup de choses à revoir.,Many things to review.
=> beaucoup d'efforts seront à fournir pour arriver au niveau d'un webmail digne de ce nom,=> Many efforts will be made to reach a webmail worthy of the name
manque beaucoup de fonctionnalités par rapport à d'autres interfaces de gestion des mails,Lack of a lot of features compared to other email management interfaces
Pourrait-on récupérer automatiquement les adresses mail des expéditeurs ?,Could we automatically recover the senders' email addresses?
-Impossibilité d'envoyer un mail à un groupe de contacts,-Impossibility to send an email to a group of contacts
Serait-il possible d'ajouter d'autres nuances de couleurs pour les dossiers de mail svp ?,Would it be possible to add other shades of colors for email files please?
Certaines personnes n'ont pas remarqué ou ne savent pas modifier le nom Default de leur compte mail. Serait-il possible de mettre automatiquement un nom en fonction de l'adresse mail dans le nom du compte svp ? Il est parfois difficile de se rendre compte de qui nous a envoyé un mail lorsque tout le monde s'appelle Default.,Some people have not noticed or cannot change the name DEFAULT from their mail account. Would it be possible to automatically put a name according to the email address in the name of the account please? It is sometimes difficult to realize who sent us an email when everyone is called Default.
Merci pour ces prises en compte,Thank you for these taking into account
BOITE MAILPAS SUPERBE,Superb mailbox
Je pense que ce ZEXTRAS Services me plaît.,I think I like this Zextras Services.
L'ergonomie et le volume de fonctionnalités de Carbonio est très en dessous de Zimbra 8. Seuls la quantité de bugs est au dessus :-(,The ergonomics and the volume of carbonio features is much below Zimbra 8. Only the quantity of bugs is above :-(
l'envoi des mails nécessite parfois un double appui sur le bouton envoyer.,The sending of emails sometimes requires double support on the Envy button.
Enormément de problèmes d'ergonomie dans cette interface.,Hurnedly for ergonomics problems in this interface.
Nous allons envoyer des demandes via le support pour certain bug/améliorations,We will send requests via the support for some bug/improvements
Difficultés rencontrées pour sélectionner plusieurs courriels devant être annulés simultanément afin d'épurer.,Difficulties encountered to select several emails to be canceled simultaneously in order to purify.
utilisation de carbonio uniquement si thunderbird est indisponible,use of carbonio only if Thunderbird is unavailable
Nous avons pas mal de probleme lorsqu'on utilise plusieurs boites mails. Les réponses ne sont pas rattaché avec l'adresse mail qui reçoit le mail,We have a lot of problem when using several mailboxes. The answers are not attached with the email address that receives the email
En attente d'un outil plus intuitif.,Awaiting a more intuitive tool.
A quand une revision de l'interface d'administration?,When will a revision of the administration interface be reviewed?
Les points à travailler en priorité :,The points to work in priority:
- Sélection de mails (trop de scroll à faire dans les dossiers lourds) et déplacement,- Selection of emails (too much scroll to do in heavy folders) and displacement
- Recherche de mails (à l'heure actuelle pas efficace si on met plusieurs mots),- Mail search (right now not effective if we put several words)
non pas besoin,no need
il serait profitable de pouvoir sélectionner plusieurs contact pour envoyer un email groupé plutôt que devoir constituer des groupes de contacts.,It would be profitable to be able to select several contacts to send a group email rather than having to constitute groups of contacts.
Les étiquettes devraient pouvoir être formalisées pour les boîtes mails partagées afin que nous ayons accès aux mêmes étiquettes.,The labels should be able to be formalized for shared email boxes so that we have access to the same labels.
Carbonio est bien loin d'être aisé. Très peu commode et difficile d'utilisation et de lecture,Carbonio is far from easy. Very little convenient and difficult to use and read
Amélioration de la recherche par expéditeurs. Amélioration de la coloration des mails plutôt que des marqueurs seuls.,Improvement of searches by sender. Improved email coloring rather than markers alone.
Pourquoi ne peut on pas épingler les mails?,Why can't we pin the emails?
Le traitement des contacts n'est pas satisfaisante non plus,The processing of contacts is not satisfactory either
pouvoir répondre à un mail lorsqu'il est affiché en plein écran serait bien,being able to respond to an email when displayed in full screen would be good
pas bien,not well
l'interface est à revoir. je travaille beaucoup avec mes mails et je regrette outlook qui etait plus intuitif et lisible,The interface is to be reviewed. I work a lot with my emails and I regret Outlook who was more intuitive and readable
logiciel bien,good software
Il y a encore beaucoup trop de bugs non cités dans les questions de ce sondage ...,There are still far too many bugs not mentioned in the questions of this survey ...
l'ergonomie est déplorable (ex : la rédaction d'un mail ne peut pas se faire sans passer en pleine page pour lire sans défilement à la fois l'adresse du destinataire et le texte aussi court soit il) la fenêtre dans laquelle j'écris ce texte en est d'ailleurs un autre exemple,"Ergonomics are deplorable (e.g. writing an email cannot be done without going in full page to read without scrolling both the address of the recipient and the text as short, it is it) the window in which I write this text is another example"
la création de dossiers d'archivage est indigne d'un logiciel pro,The creation of archiving files is unworthy of pro software
la fonction coller depuis la souris ne fonctionne pas,The sticking function from the mouse does not work
la gestion alphabétique des contacts ne porte pas sur le nom mais sur le prénom ce qui ne me convient pas,Alphabetical management of contacts does not relate to the name but to the first name which does not suit me
produit non terminé,unpleasant product
Globalement j'ai du mal avec cette messagerie surtout pour retrouver des emails,Overall I have trouble with this messaging especially to find emails
Une fois la recherche faite on clique sur le mail et le contenu n'apparait pas,Once the search is done we click on the email and the content does not appear
Cette messagerie est tout sauf intuitive et la rend inutilisable.,This messaging is anything but intuitive and makes it unusable.
- La gestion des mails filtrés (après une recherche sur un terme ou un nom) est difficile. Certes les étiquettes semblent être une partie de la solution mais ne répondent pas à toutes les possibilités de filtrage. Donc filtrage à revoir.,- The management of filtered emails (after a search on a term or a name) is difficult. Certainly the labels seem to be a part of the solution but do not respond to all the possibilities of filtering. So filter to review.
Il est pénible de devoir rentrer ses codes pour accéder à la messagerie alors qu'on y accède depuis le biome (pour lequel on a déjà rentré ses codes),It is painful to have to enter your codes to access messaging when you have access to it from the biome (for which we have already returned his codes)
Il n'y a pas assez d'étiquette de couleur et les couleurs choisi ne se mettent pas sur la totalité de la ligne,There is not enough color label and the colors chosen do not put themselves on the entire line
La recherche d'un mail dans un seul dossier n'est plus possible,The search for an email in a single file is no longer possible
Pas simple d'utilisation- Pas de formation ou d'aide à l'utilisation - Marquer les mails importants avec des couleurs différentes : je ne sais pas faire,Not easy to use - no training or use help - mark important emails with different colors: I don't know how to do
Mes mails ne sont pas imprimés correctement ou imprimés sur la totalité de la discussion ou en double sur une page... Assez déçue,My emails are not printed properly or printed on the entire discussion or double on a page ... quite disappointed
Quelques problèmes rencontrés :,Some problems encountered:
- Barre de résultats à gauche peu lisible : il serait agréable de pouvoir élargir cette barre afin d'afficher des titres plus détaillés.,- Little readable results bar: it would be pleasant to be able to widen this bar in order to display more detailed titles.
Merci beaucoup d'avoir sollicité notre avis.,Thank you very much for requiring our opinion.
J'aurais aimé disposer d'une boîte permanente (et non pas à générer à chaque fois avec une recherche / filtre) des non lus (mails en attente de réponse pour moi),I would have liked to have a permanent box (and not to generate each time with a search / filter) of non -read (emails awaiting response for me)
Cette messagerie est complètement inefficace et loin d'être pratique.,This messaging is completely ineffective and far from practical.
La police par défaut est trop petite. Je dois la modifier à chaque fois que je me connecte. Impossible d'enregistrer une fois pour toutes le paramètre. Sinon très utile et pratique. Merci,The default police are too small. I have to change it every time I connect. Impossible to record once and for all the parameter. Otherwise very useful and practical. THANKS
- lorsque le mail pop up on voit un aperçu du mail mais pas le nom ni l'adresse mail du destinataire,- When the pop -up email we see an overview of the email but not the name or the recipient's email address
L'ancien wbmail était plus clair,The old wbmail was clearer
Le tri/la recherche des mails est compliqué(e),The sorting/email search is complicated
Je trouve qu'il y a un manque de visibilité pour l'objet du mail.,I find that there is a lack of visibility for the subject of the email.
