,Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,Je préfère généralement afficher les courriels dans une orientation:,Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,Il me semble que les icônes de gestion des e-mails sont:,L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,Je trouve que les icônes pour la gestion du courrier électronique sont:,Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,La recherche d'un courrier électronique dans un dossier donné est:,En général je considère que l'utilisation des Mails est:
Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,1.0,-0.16993133196478685,-0.049951354082429796,0.48550734947823426,0.37510483965303393,0.24100426918640974,-0.34167086674703145,0.3405603425070112,0.2709704168811904,0.5828979397964662
Je préfère généralement afficher les courriels dans une orientation:,-0.16993133196478685,1.0,-0.0806110993736941,-0.17574030099792726,-0.10751834412360622,-0.1311906820554103,0.09301236569585347,-0.16528980291902842,-0.09953835080063124,-0.1881394982125618
Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,-0.049951354082429796,-0.0806110993736941,1.0,0.0726884395318346,-0.05187767523207,0.09615759181366647,0.09131441749046038,-0.10944573961948002,-0.02184140494103792,-0.15739991059846853
Il me semble que les icônes de gestion des e-mails sont:,0.48550734947823426,-0.17574030099792726,0.0726884395318346,1.0,0.3267583399385965,0.47890765275206476,-0.42443035960233766,0.26318446610306656,0.35201162630332394,0.5733885729407933
L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,0.37510483965303393,-0.10751834412360622,-0.05187767523207,0.3267583399385965,1.0,0.18186682965089515,-0.5233530056635879,0.28994824881415515,0.2884494956265984,0.471070027502511
Je trouve que les icônes pour la gestion du courrier électronique sont:,0.24100426918640974,-0.1311906820554103,0.09615759181366647,0.47890765275206476,0.18186682965089515,1.0,-0.3425970979502114,0.13232850472901161,0.15904147496527185,0.34093640587097407
Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,-0.34167086674703145,0.09301236569585347,0.09131441749046038,-0.42443035960233766,-0.5233530056635879,-0.3425970979502114,1.0,-0.19000342699959513,-0.2675988889401309,-0.49027837785191436
Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,0.3405603425070112,-0.16528980291902842,-0.10944573961948002,0.26318446610306656,0.28994824881415515,0.13232850472901161,-0.19000342699959513,1.0,0.3392031591679044,0.36774165148260785
La recherche d'un courrier électronique dans un dossier donné est:,0.2709704168811904,-0.09953835080063124,-0.02184140494103792,0.35201162630332394,0.2884494956265984,0.15904147496527185,-0.2675988889401309,0.3392031591679044,1.0,0.502774476332553
En général je considère que l'utilisation des Mails est:,0.5828979397964662,-0.1881394982125618,-0.15739991059846853,0.5733885729407933,0.471070027502511,0.34093640587097407,-0.49027837785191436,0.36774165148260785,0.502774476332553,1.0
